date,player_1,player_2,winner,target
2024-03-18,Christopher Eubanks,Daniel Evans,Christopher Eubanks,1
2024-03-18,Sebastian Ofner,Francisco Cerundolo,Francisco Cerundolo,0
2024-03-18,Karen Khachanov,Laslo Djere,Karen Khachanov,1
2024-03-18,Soon Woo Kwon,Alex De Minaur,Alex De Minaur,0
2024-03-18,Jan Lennard Struff,Daniel Altmaier,Jan Lennard Struff,1
2024-03-18,Jiri Lehecka,Alexei Popyrin,Alexei Popyrin,0
2024-03-18,Fabian Marozsan,Holger Rune,Fabian Marozsan,1
2024-03-18,Luca Van Assche,Casper Ruud,Casper Ruud,0
2024-03-18,Alejandro Davidovich Fokina,Juncheng Shang,Alejandro Davidovich Fokina,1
2024-03-18,Jack Draper,Nicolas Jarry,Nicolas Jarry,0
2024-03-18,Thiago Seyboth Wild,Taylor Fritz,Thiago Seyboth Wild,1
2024-03-18,Botic Van De Zandschulp,Ugo Humbert,Ugo Humbert,0
2024-03-18,Dominik Koepfer,Sebastian Baez,Dominik Koepfer,1
2024-03-18,Flavio Cobolli,Cameron Norrie,Cameron Norrie,0
2024-03-18,Daniil Medvedev,Marton Fucsovics,Daniil Medvedev,1
2024-03-18,Andrey Rublev,Tomas Machac,Tomas Machac,0
2024-03-18,Andy Murray,Tomas Martin Etcheverry,Andy Murray,1
2024-03-18,Alexander Bublik,Matteo Arnaldi,Matteo Arnaldi,0
2024-03-18,Denis Shapovalov,Stefanos Tsitsipas,Denis Shapovalov,1
2024-03-18,Tommy Paul,Martin Damm,Martin Damm,0
2024-03-18,Christopher Oconnell,Frances Tiafoe,Christopher Oconnell,1
2024-03-18,Alex Michelsen,Tallon Griekspoor,Tallon Griekspoor,0
2024-03-18,Jannik Sinner,Andrea Vavassori,Jannik Sinner,1
2024-03-18,Aleksandar Vukic,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-03-18,Gael Monfils,Dusan Lajovic,Gael Monfils,1
2024-03-18,Diego Schwartzman,Roman Safiullin,Roman Safiullin,0
2024-03-18,Martin Landaluce,Jaume Munar,Martin Landaluce,1
2024-03-18,Brandon Nakashima,Alejandro Tabilo,Alejandro Tabilo,0
2024-03-18,Yannick Hanfmann,Emil Ruusuvuori,Yannick Hanfmann,1
2024-03-18,Emilio Nava,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-03-18,Alexander Shevchenko,Daniel Elahi Galan,Alexander Shevchenko,1
2024-03-18,Adam Walton,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-03-18,Daniel Evans,Lorenzo Sonego,Daniel Evans,1
2024-03-18,Kei Nishikori,Sebastian Ofner,Sebastian Ofner,0
2024-03-18,Laslo Djere,Coleman Wong,Laslo Djere,1
2024-03-18,Alexandre Muller,Soon Woo Kwon,Soon Woo Kwon,0
2024-03-18,Daniel Altmaier,Harold Mayot,Daniel Altmaier,1
2024-03-18,Facundo Diaz Acosta,Alexei Popyrin,Alexei Popyrin,0
2024-03-18,Fabian Marozsan,Aleksandar Kovacevic,Fabian Marozsan,1
2024-03-18,Pavel Kotov,Luca Van Assche,Luca Van Assche,0
2024-03-18,Juncheng Shang,Miomir Kecmanovic,Juncheng Shang,1
2024-03-18,Taro Daniel,Jack Draper,Jack Draper,0
2024-03-18,Thiago Seyboth Wild,Nuno Borges,Thiago Seyboth Wild,1
2024-03-18,Rinky Hijikata,Botic Van De Zandschulp,Botic Van De Zandschulp,0
2024-03-18,Dominik Koepfer,Marcos Giron,Dominik Koepfer,1
2024-03-18,Yoshihito Nishioka,Flavio Cobolli,Flavio Cobolli,0
2024-03-18,Marton Fucsovics,Max Purcell,Marton Fucsovics,1
2024-03-18,Darwin Blanch,Tomas Machac,Tomas Machac,0
2024-03-18,Andy Murray,Matteo Berrettini,Andy Murray,1
2024-03-18,Arthur Fils,Matteo Arnaldi,Matteo Arnaldi,0
2024-03-18,Denis Shapovalov,Luciano Darderi,Denis Shapovalov,1
2024-03-18,Zhizhen Zhang,Martin Damm,Martin Damm,0
2024-03-18,Christopher Oconnell,Vit Kopriva,Christopher Oconnell,1
2024-03-18,Lukas Klein,Alex Michelsen,Alex Michelsen,0
2024-03-18,Andrea Vavassori,Pedro Cachin,Andrea Vavassori,1
2024-04-01,Pedro Martinez,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-01,Pedro Martinez,Casper Ruud,Pedro Martinez,1
2024-04-01,Cristian Garin,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-01,Casper Ruud,Marton Fucsovics,Casper Ruud,1
2024-04-01,Richard Gasquet,Pedro Martinez,Pedro Martinez,0
2024-04-01,Cristian Garin,Nuno Borges,Cristian Garin,1
2024-04-01,Pablo Llamas Ruiz,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-01,Casper Ruud,Botic Van De Zandschulp,Casper Ruud,1
2024-04-01,Gael Monfils,Marton Fucsovics,Marton Fucsovics,0
2024-04-01,Richard Gasquet,Dominic Thiem,Richard Gasquet,1
2024-04-01,Roberto Bautista Agut,Pedro Martinez,Pedro Martinez,0
2024-04-01,Cristian Garin,Arthur Fils,Cristian Garin,1
2024-04-01,Lorenzo Musetti,Nuno Borges,Nuno Borges,0
2024-04-01,Pablo Llamas Ruiz,David Jorda Sanchis,Pablo Llamas Ruiz,1
2024-04-01,Jan Choinski,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-01,Botic Van De Zandschulp,Federico Coria,Botic Van De Zandschulp,1
2024-04-01,Pedro Cachin,Marton Fucsovics,Marton Fucsovics,0
2024-04-01,Gael Monfils,Henrique Rocha,Gael Monfils,1
2024-04-01,Maximilian Marterer,Dominic Thiem,Dominic Thiem,0
2024-04-01,Pedro Martinez,Daniel Altmaier,Pedro Martinez,1
2024-04-01,Miomir Kecmanovic,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-04-01,Arthur Fils,Joao Sousa,Arthur Fils,1
2024-04-01,Jurij Rodionov,Cristian Garin,Cristian Garin,0
2024-04-01,Nuno Borges,Lucas Pouille,Nuno Borges,1
2024-04-01,Dominik Koepfer,Pablo Llamas Ruiz,Pablo Llamas Ruiz,0
2024-04-01,David Jorda Sanchis,Jaime Faria,David Jorda Sanchis,1
2024-04-01,Joao Fonseca,Jan Choinski,Jan Choinski,0
2024-04-01,Ben Shelton,Frances Tiafoe,Ben Shelton,1
2024-04-01,Tomas Martin Etcheverry,Ben Shelton,Ben Shelton,0
2024-04-01,Frances Tiafoe,Luciano Darderi,Frances Tiafoe,1
2024-04-01,Brandon Nakashima,Ben Shelton,Ben Shelton,0
2024-04-01,Tomas Martin Etcheverry,Michael Mmoh,Tomas Martin Etcheverry,1
2024-04-01,Jordan Thompson,Frances Tiafoe,Frances Tiafoe,0
2024-04-01,Luciano Darderi,Marcos Giron,Luciano Darderi,1
2024-04-01,Zizou Bergs,Ben Shelton,Ben Shelton,0
2024-04-01,Brandon Nakashima,Rinky Hijikata,Brandon Nakashima,1
2024-04-01,Daniel Elahi Galan,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-04-01,Michael Mmoh,Max Purcell,Michael Mmoh,1
2024-04-01,Aleksandar Kovacevic,Jordan Thompson,Jordan Thompson,0
2024-04-01,Frances Tiafoe,James Duckworth,Frances Tiafoe,1
2024-04-01,J J Wolf,Marcos Giron,Marcos Giron,0
2024-04-01,Luciano Darderi,Francisco Cerundolo,Luciano Darderi,1
2024-04-01,Patrick Kypson,Zizou Bergs,Zizou Bergs,0
2024-04-01,Brandon Nakashima,Duje Ajdukovic,Brandon Nakashima,1
2024-04-01,Christopher Eubanks,Rinky Hijikata,Rinky Hijikata,0
2024-04-01,Daniel Elahi Galan,Benoit Paire,Daniel Elahi Galan,1
2024-04-01,Juan Pablo Varillas,Michael Mmoh,Michael Mmoh,0
2024-04-01,Max Purcell,Alex Michelsen,Max Purcell,1
2024-04-01,Yibing Wu,Jordan Thompson,Jordan Thompson,0
2024-04-01,Aleksandar Kovacevic,Thanasi Kokkinakis,Aleksandar Kovacevic,1
2024-04-01,Gijs Brouwer,James Duckworth,James Duckworth,0
2024-04-01,Marcos Giron,Denis Shapovalov,Marcos Giron,1
2024-04-01,Alexander Ritschard,J J Wolf,J J Wolf,0
2024-04-01,Luciano Darderi,Denis Kudla,Luciano Darderi,1
2024-04-01,Roberto Carballes Baena,Matteo Berrettini,Matteo Berrettini,0
2024-04-01,Roberto Carballes Baena,Pavel Kotov,Roberto Carballes Baena,1
2024-04-01,Mariano Navone,Matteo Berrettini,Matteo Berrettini,0
2024-04-01,Pavel Kotov,Fabio Fognini,Pavel Kotov,1
2024-04-01,Nicolas Moreno De Alboran,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-04-01,Matteo Berrettini,Lorenzo Sonego,Matteo Berrettini,1
2024-04-01,Aleksandar Vukic,Mariano Navone,Mariano Navone,0
2024-04-01,Fabio Fognini,Laslo Djere,Fabio Fognini,1
2024-04-01,Flavio Cobolli,Pavel Kotov,Pavel Kotov,0
2024-04-01,Roberto Carballes Baena,Daniel Evans,Roberto Carballes Baena,1
2024-04-01,David Goffin,Nicolas Moreno De Alboran,Nicolas Moreno De Alboran,0
2024-04-01,Matteo Berrettini,Jaume Munar,Matteo Berrettini,1
2024-04-01,Sumit Nagal,Lorenzo Sonego,Lorenzo Sonego,0
2024-04-01,Mariano Navone,Stan Wawrinka,Mariano Navone,1
2024-04-01,Sebastian Ofner,Aleksandar Vukic,Aleksandar Vukic,0
2024-04-01,Fabio Fognini,Hugo Gaston,Fabio Fognini,1
2024-04-01,Elliot Benchetrit,Pavel Kotov,Pavel Kotov,0
2024-04-01,Flavio Cobolli,Abedallah Shelbayh,Flavio Cobolli,1
2024-04-01,Matteo Gigante,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-04-01,David Goffin,Arthur Rinderknech,David Goffin,1
2024-04-01,Facundo Diaz Acosta,Nicolas Moreno De Alboran,Nicolas Moreno De Alboran,0
2024-04-01,Matteo Berrettini,Alexander Shevchenko,Matteo Berrettini,1
2024-04-01,Luca Van Assche,Jaume Munar,Jaume Munar,0
2024-04-01,Sumit Nagal,Corentin Moutet,Sumit Nagal,1
2024-04-01,Aziz Dougaz,Mariano Navone,Mariano Navone,0
2024-04-01,Stan Wawrinka,Albert Ramos,Stan Wawrinka,1
2024-04-01,Alexandre Muller,Aleksandar Vukic,Aleksandar Vukic,0
2024-04-08,Stefanos Tsitsipas,Casper Ruud,Stefanos Tsitsipas,1
2024-04-08,Novak Djokovic,Casper Ruud,Casper Ruud,0
2024-04-08,Stefanos Tsitsipas,Jannik Sinner,Stefanos Tsitsipas,1
2024-04-08,Alex De Minaur,Novak Djokovic,Novak Djokovic,0
2024-04-08,Casper Ruud,Ugo Humbert,Casper Ruud,1
2024-04-08,Karen Khachanov,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-04-08,Jannik Sinner,Holger Rune,Jannik Sinner,1
2024-04-08,Lorenzo Musetti,Novak Djokovic,Novak Djokovic,0
2024-04-08,Alex De Minaur,Alexei Popyrin,Alex De Minaur,1
2024-04-08,Lorenzo Sonego,Ugo Humbert,Ugo Humbert,0
2024-04-08,Casper Ruud,Hubert Hurkacz,Casper Ruud,1
2024-04-08,Alexander Zverev,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-04-08,Karen Khachanov,Daniil Medvedev,Karen Khachanov,1
2024-04-08,Grigor Dimitrov,Holger Rune,Holger Rune,0
2024-04-08,Jannik Sinner,Jan Lennard Struff,Jannik Sinner,1
2024-04-08,Roman Safiullin,Novak Djokovic,Novak Djokovic,0
2024-04-08,Lorenzo Musetti,Arthur Fils,Lorenzo Musetti,1
2024-04-08,Tallon Griekspoor,Alex De Minaur,Alex De Minaur,0
2024-04-08,Alexei Popyrin,Andrey Rublev,Alexei Popyrin,1
2024-04-08,Felix Auger Aliassime,Lorenzo Sonego,Lorenzo Sonego,0
2024-04-08,Ugo Humbert,Zhizhen Zhang,Ugo Humbert,1
2024-04-08,Roberto Bautista Agut,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-08,Casper Ruud,Alejandro Tabilo,Casper Ruud,1
2024-04-08,Sebastian Ofner,Alexander Zverev,Alexander Zverev,0
2024-04-08,Stefanos Tsitsipas,Tomas Martin Etcheverry,Stefanos Tsitsipas,1
2024-04-08,Francisco Cerundolo,Karen Khachanov,Karen Khachanov,0
2024-04-08,Daniil Medvedev,Gael Monfils,Daniil Medvedev,1
2024-04-08,Sumit Nagal,Holger Rune,Holger Rune,0
2024-04-08,Grigor Dimitrov,Miomir Kecmanovic,Grigor Dimitrov,1
2024-04-08,Borna Coric,Jan Lennard Struff,Jan Lennard Struff,0
2024-04-08,Jannik Sinner,Sebastian Korda,Jannik Sinner,1
2024-04-08,Jaume Munar,Roman Safiullin,Roman Safiullin,0
2024-04-08,Arthur Fils,Yannick Hanfmann,Arthur Fils,1
2024-04-08,Taylor Fritz,Lorenzo Musetti,Lorenzo Musetti,0
2024-04-08,Alex De Minaur,Stan Wawrinka,Alex De Minaur,1
2024-04-08,Dominik Koepfer,Tallon Griekspoor,Tallon Griekspoor,0
2024-04-08,Alexei Popyrin,Corentin Moutet,Alexei Popyrin,1
2024-04-08,Luca Nardi,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-08,Zhizhen Zhang,Marcos Giron,Zhizhen Zhang,1
2024-04-08,Federico Coria,Ugo Humbert,Ugo Humbert,0
2024-04-08,Hubert Hurkacz,Jack Draper,Hubert Hurkacz,1
2024-04-08,Facundo Diaz Acosta,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-04-08,Alejandro Tabilo,Christopher Oconnell,Alejandro Tabilo,1
2024-04-08,Daniel Evans,Sebastian Ofner,Sebastian Ofner,0
2024-04-08,Tomas Martin Etcheverry,Nicolas Jarry,Tomas Martin Etcheverry,1
2024-04-08,Laslo Djere,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-04-08,Karen Khachanov,Cameron Norrie,Karen Khachanov,1
2024-04-08,Daniel Altmaier,Francisco Cerundolo,Francisco Cerundolo,0
2024-04-08,Gael Monfils,Aleksandar Vukic,Gael Monfils,1
2024-04-08,Matteo Arnaldi,Sumit Nagal,Sumit Nagal,0
2024-04-08,Miomir Kecmanovic,Matteo Berrettini,Miomir Kecmanovic,1
2024-04-08,Valentin Vacherot,Grigor Dimitrov,Grigor Dimitrov,0
2024-04-08,Borna Coric,Alexander Bublik,Borna Coric,1
2024-04-08,Sebastian Baez,Jan Lennard Struff,Jan Lennard Struff,0
2024-04-08,Sebastian Korda,Alejandro Davidovich Fokina,Sebastian Korda,1
2024-04-15,Stefanos Tsitsipas,Casper Ruud,Casper Ruud,0
2024-04-15,Stefanos Tsitsipas,Dusan Lajovic,Stefanos Tsitsipas,1
2024-04-15,Tomas Martin Etcheverry,Casper Ruud,Casper Ruud,0
2024-04-15,Stefanos Tsitsipas,Facundo Diaz Acosta,Stefanos Tsitsipas,1
2024-04-15,Arthur Fils,Dusan Lajovic,Dusan Lajovic,0
2024-04-15,Casper Ruud,Matteo Arnaldi,Casper Ruud,1
2024-04-15,Cameron Norrie,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-04-15,Facundo Diaz Acosta,Fabian Marozsan,Facundo Diaz Acosta,1
2024-04-15,Roberto Carballes Baena,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-04-15,Arthur Fils,Alex De Minaur,Arthur Fils,1
2024-04-15,Alejandro Davidovich Fokina,Dusan Lajovic,Dusan Lajovic,0
2024-04-15,Matteo Arnaldi,Marco Trungelliti,Matteo Arnaldi,1
2024-04-15,Jordan Thompson,Casper Ruud,Casper Ruud,0
2024-04-15,Cameron Norrie,Roberto Bautista Agut,Cameron Norrie,1
2024-04-15,Brandon Nakashima,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-04-15,Fabian Marozsan,Luca Van Assche,Fabian Marozsan,1
2024-04-15,Borna Coric,Facundo Diaz Acosta,Facundo Diaz Acosta,0
2024-04-15,Roberto Carballes Baena,Lorenzo Musetti,Roberto Carballes Baena,1
2024-04-15,Sebastian Ofner,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-04-15,Alex De Minaur,Rafael Nadal,Alex De Minaur,1
2024-04-15,Daniel Altmaier,Arthur Fils,Arthur Fils,0
2024-04-15,Alejandro Davidovich Fokina,Tomas Machac,Alejandro Davidovich Fokina,1
2024-04-15,Ugo Humbert,Dusan Lajovic,Dusan Lajovic,0
2024-04-15,Matteo Arnaldi,Sebastian Baez,Matteo Arnaldi,1
2024-04-15,Nicolas Jarry,Marco Trungelliti,Marco Trungelliti,0
2024-04-15,Jordan Thompson,Jaume Munar,Jordan Thompson,1
2024-04-15,Alexandre Muller,Casper Ruud,Casper Ruud,0
2024-04-15,Roberto Bautista Agut,Andrea Vavassori,Roberto Bautista Agut,1
2024-04-15,Harold Mayot,Cameron Norrie,Cameron Norrie,0
2024-04-15,Tomas Martin Etcheverry,Nick Hardt,Tomas Martin Etcheverry,1
2024-04-15,Andrey Rublev,Brandon Nakashima,Brandon Nakashima,0
2024-04-15,Luca Van Assche,Zhizhen Zhang,Luca Van Assche,1
2024-04-15,Daniel Rincon,Facundo Diaz Acosta,Facundo Diaz Acosta,0
2024-04-15,Roberto Carballes Baena,Hugo Grenier,Roberto Carballes Baena,1
2024-04-15,Pavel Kotov,Sebastian Ofner,Sebastian Ofner,0
2024-04-15,Rafael Nadal,Flavio Cobolli,Rafael Nadal,1
2024-04-15,Alexei Popyrin,Daniel Altmaier,Daniel Altmaier,0
2024-04-15,Tomas Machac,Juncheng Shang,Tomas Machac,1
2024-04-15,Diego Schwartzman,Dusan Lajovic,Dusan Lajovic,0
2024-04-15,Matteo Arnaldi,Arthur Cazaux,Matteo Arnaldi,1
2024-04-15,Duje Ajdukovic,Marco Trungelliti,Marco Trungelliti,0
2024-04-15,Jaume Munar,Yoshihito Nishioka,Jaume Munar,1
2024-04-15,Albert Ramos,Alexandre Muller,Alexandre Muller,0
2024-04-15,Roberto Bautista Agut,Roman Safiullin,Roberto Bautista Agut,1
2024-04-15,Pedro Cachin,Harold Mayot,Harold Mayot,0
2024-04-15,Nick Hardt,Martin Landaluce,Nick Hardt,1
2024-04-15,Daniel Evans,Brandon Nakashima,Brandon Nakashima,0
2024-04-15,Jan Lennard Struff,Taylor Fritz,Jan Lennard Struff,1
2024-04-15,Cristian Garin,Taylor Fritz,Taylor Fritz,0
2024-04-15,Jan Lennard Struff,Holger Rune,Jan Lennard Struff,1
2024-04-15,Alexander Zverev,Cristian Garin,Cristian Garin,0
2024-04-15,Taylor Fritz,Jack Draper,Taylor Fritz,1
2024-04-15,Felix Auger Aliassime,Jan Lennard Struff,Jan Lennard Struff,0
2024-04-15,Holger Rune,Marc Andrea Huesler,Holger Rune,1
2024-04-15,Jurij Rodionov,Alexander Zverev,Alexander Zverev,0
2024-04-15,Cristian Garin,Alex Michelsen,Cristian Garin,1
2024-04-15,Alejandro Moro Canas,Taylor Fritz,Taylor Fritz,0
2024-04-15,Jack Draper,Rudolf Molleker,Jack Draper,1
2024-04-15,Taro Daniel,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-15,Jan Lennard Struff,Botic Van De Zandschulp,Jan Lennard Struff,1
2024-04-15,Yannick Hanfmann,Marc Andrea Huesler,Marc Andrea Huesler,0
2024-04-15,Holger Rune,Daniel Elahi Galan,Holger Rune,1
2024-04-15,Aleksandar Vukic,Jurij Rodionov,Jurij Rodionov,0
2024-04-15,Alex Michelsen,Max Hans Rehberg,Alex Michelsen,1
2024-04-15,Dominik Koepfer,Cristian Garin,Cristian Garin,0
2024-04-15,Alejandro Moro Canas,Dominic Thiem,Alejandro Moro Canas,1
2024-04-15,Francesco Passaro,Rudolf Molleker,Rudolf Molleker,0
2024-04-15,Jack Draper,Vit Kopriva,Jack Draper,1
2024-04-15,Maximilian Marterer,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-15,Taro Daniel,Christopher Oconnell,Taro Daniel,1
2024-04-15,Ivan Gakhov,Botic Van De Zandschulp,Botic Van De Zandschulp,0
2024-04-15,Yannick Hanfmann,Alexander Shevchenko,Yannick Hanfmann,1
2024-04-15,Marko Topo,Marc Andrea Huesler,Marc Andrea Huesler,0
2024-04-15,Daniel Elahi Galan,Camilo Ugo Carabelli,Daniel Elahi Galan,1
2024-04-15,Mariano Navone,Marton Fucsovics,Marton Fucsovics,0
2024-04-15,Mariano Navone,Gregoire Barrere,Mariano Navone,1
2024-04-15,Alejandro Tabilo,Marton Fucsovics,Marton Fucsovics,0
2024-04-15,Mariano Navone,Francisco Cerundolo,Mariano Navone,1
2024-04-15,Pedro Martinez,Gregoire Barrere,Gregoire Barrere,0
2024-04-15,Alejandro Tabilo,Joao Fonseca,Alejandro Tabilo,1
2024-04-15,Corentin Moutet,Marton Fucsovics,Marton Fucsovics,0
2024-04-15,Francisco Cerundolo,Federico Coria,Francisco Cerundolo,1
2024-04-15,Thiago Seyboth Wild,Mariano Navone,Mariano Navone,0
2024-04-15,Gregoire Barrere,Sebastian Korda,Gregoire Barrere,1
2024-04-15,Miomir Kecmanovic,Pedro Martinez,Pedro Martinez,0
2024-04-15,Joao Fonseca,Radu Albot,Joao Fonseca,1
2024-04-15,Arthur Rinderknech,Alejandro Tabilo,Alejandro Tabilo,0
2024-04-15,Corentin Moutet,Nuno Borges,Corentin Moutet,1
2024-04-15,Tallon Griekspoor,Marton Fucsovics,Marton Fucsovics,0
2024-04-15,Federico Coria,Benjamin Bonzi,Federico Coria,1
2024-04-15,Luca Nardi,Thiago Seyboth Wild,Thiago Seyboth Wild,0
2024-04-15,Mariano Navone,Luciano Darderi,Mariano Navone,1
2024-04-15,Thanasi Kokkinakis,Gregoire Barrere,Gregoire Barrere,0
2024-04-15,Miomir Kecmanovic,David Goffin,Miomir Kecmanovic,1
2024-04-15,Carlos Taberner,Pedro Martinez,Pedro Martinez,0
2024-04-15,Joao Fonseca,Lorenzo Sonego,Joao Fonseca,1
2024-04-15,Aleksandar Kovacevic,Radu Albot,Radu Albot,0
2024-04-15,Arthur Rinderknech,Hugo Gaston,Arthur Rinderknech,1
2024-04-15,Stan Wawrinka,Nuno Borges,Nuno Borges,0
2024-04-15,Corentin Moutet,Denis Shapovalov,Corentin Moutet,1
2024-04-15,Valentin Vacherot,Marton Fucsovics,Marton Fucsovics,0
2024-04-22,Andrey Rublev,Felix Auger Aliassime,Andrey Rublev,1
2024-04-22,Jiri Lehecka,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-22,Andrey Rublev,Taylor Fritz,Andrey Rublev,1
2024-04-22,Jannik Sinner,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-22,Jiri Lehecka,Daniil Medvedev,Jiri Lehecka,1
2024-04-22,Francisco Cerundolo,Taylor Fritz,Taylor Fritz,0
2024-04-22,Andrey Rublev,Carlos Alcaraz,Andrey Rublev,1
2024-04-22,Karen Khachanov,Jannik Sinner,Jannik Sinner,0
2024-04-22,Felix Auger Aliassime,Casper Ruud,Felix Auger Aliassime,1
2024-04-22,Alexander Bublik,Daniil Medvedev,Daniil Medvedev,0
2024-04-22,Jiri Lehecka,Rafael Nadal,Jiri Lehecka,1
2024-04-22,Hubert Hurkacz,Taylor Fritz,Taylor Fritz,0
2024-04-22,Francisco Cerundolo,Alexander Zverev,Francisco Cerundolo,1
2024-04-22,Tallon Griekspoor,Andrey Rublev,Andrey Rublev,0
2024-04-22,Carlos Alcaraz,Jan Lennard Struff,Carlos Alcaraz,1
2024-04-22,Pavel Kotov,Jannik Sinner,Jannik Sinner,0
2024-04-22,Karen Khachanov,Flavio Cobolli,Karen Khachanov,1
2024-04-22,Jakub Mensik,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-04-22,Casper Ruud,Cameron Norrie,Casper Ruud,1
2024-04-22,Sebastian Korda,Daniil Medvedev,Daniil Medvedev,0
2024-04-22,Alexander Bublik,Ben Shelton,Alexander Bublik,1
2024-04-22,Pedro Cachin,Rafael Nadal,Rafael Nadal,0
2024-04-22,Jiri Lehecka,Thiago Monteiro,Jiri Lehecka,1
2024-04-22,Daniel Altmaier,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-22,Taylor Fritz,Sebastian Baez,Taylor Fritz,1
2024-04-22,Tommy Paul,Francisco Cerundolo,Francisco Cerundolo,0
2024-04-22,Alexander Zverev,Denis Shapovalov,Alexander Zverev,1
2024-04-22,Alejandro Davidovich Fokina,Andrey Rublev,Andrey Rublev,0
2024-04-22,Tallon Griekspoor,Holger Rune,Tallon Griekspoor,1
2024-04-22,Ugo Humbert,Jan Lennard Struff,Jan Lennard Struff,0
2024-04-22,Carlos Alcaraz,Thiago Seyboth Wild,Carlos Alcaraz,1
2024-04-22,Lorenzo Sonego,Jannik Sinner,Jannik Sinner,0
2024-04-22,Pavel Kotov,Jordan Thompson,Pavel Kotov,1
2024-04-22,Nicolas Jarry,Flavio Cobolli,Flavio Cobolli,0
2024-04-22,Karen Khachanov,Roberto Bautista Agut,Karen Khachanov,1
2024-04-22,Grigor Dimitrov,Jakub Mensik,Jakub Mensik,0
2024-04-22,Felix Auger Aliassime,Adrian Mannarino,Felix Auger Aliassime,1
2024-04-22,Joao Fonseca,Cameron Norrie,Cameron Norrie,0
2024-04-22,Casper Ruud,Miomir Kecmanovic,Casper Ruud,1
2024-04-22,Matteo Arnaldi,Daniil Medvedev,Daniil Medvedev,0
2024-04-22,Sebastian Korda,Max Purcell,Sebastian Korda,1
2024-04-22,Roberto Carballes Baena,Alexander Bublik,Alexander Bublik,0
2024-04-22,Ben Shelton,Tomas Machac,Ben Shelton,1
2024-04-22,Alex De Minaur,Rafael Nadal,Rafael Nadal,0
2024-04-22,Pedro Cachin,Frances Tiafoe,Pedro Cachin,1
2024-04-22,Hamad Medjedovic,Jiri Lehecka,Jiri Lehecka,0
2024-04-22,Thiago Monteiro,Stefanos Tsitsipas,Thiago Monteiro,1
2024-04-22,Jack Draper,Hubert Hurkacz,Hubert Hurkacz,0
2024-04-22,Daniel Altmaier,Arthur Fils,Daniel Altmaier,1
2024-04-22,Luca Van Assche,Sebastian Baez,Sebastian Baez,0
2024-04-22,Taylor Fritz,Luciano Darderi,Taylor Fritz,1
2024-04-22,Lukas Klein,Tommy Paul,Tommy Paul,0
2024-04-22,Francisco Cerundolo,Fabian Marozsan,Francisco Cerundolo,1
2024-04-22,Tomas Martin Etcheverry,Denis Shapovalov,Denis Shapovalov,0
2024-04-22,Alexander Zverev,Borna Coric,Alexander Zverev,1
2024-04-22,Facundo Bagnis,Andrey Rublev,Andrey Rublev,0
2024-04-22,Alejandro Davidovich Fokina,Juncheng Shang,Alejandro Davidovich Fokina,1
2024-04-22,Taro Daniel,Tallon Griekspoor,Tallon Griekspoor,0
2024-04-22,Holger Rune,Mariano Navone,Holger Rune,1
2024-04-22,Botic Van De Zandschulp,Ugo Humbert,Ugo Humbert,0
2024-04-22,Jan Lennard Struff,Jaume Munar,Jan Lennard Struff,1
2024-04-22,Lorenzo Musetti,Thiago Seyboth Wild,Thiago Seyboth Wild,0
2024-04-22,Carlos Alcaraz,Alexander Shevchenko,Carlos Alcaraz,1
2024-04-22,Richard Gasquet,Lorenzo Sonego,Lorenzo Sonego,0
2024-04-22,Pavel Kotov,Albert Ramos,Pavel Kotov,1
2024-04-22,Alejandro Tabilo,Flavio Cobolli,Flavio Cobolli,0
2024-04-22,Roberto Bautista Agut,Daniel Elahi Galan,Roberto Bautista Agut,1
2024-04-22,Yannick Hanfmann,Jakub Mensik,Jakub Mensik,0
2024-04-22,Felix Auger Aliassime,Yoshihito Nishioka,Felix Auger Aliassime,1
2024-04-22,Alex Michelsen,Joao Fonseca,Joao Fonseca,0
